credit_score	income	loan_amount	loan_term	interest_rate	debt_to_income_ratio	employment_years	savings_balance	age	default_risk_score
411	89346	21456	24	8.78	25.2	17	13237	41	5849.528925
428	103559	48461	48	4.99	36.85	25	65864	39	428.5417638
685	89768	28669	60	7.92	11.11	20	62119	29	4295.672203
604	75554	13325	60	3.97	30.24	11	29592	24	7409.867784
833	102503	43019	48	8.66	35.82	26	18161	28	1433.075891
388	114242	12927	60	4.53	39.69	24	18768	37	7562.307769
672	120732	11979	12	11.14	15.6	27	20187	51	7630.849417
503	43874	38613	60	9.27	46.32	30	78816	18	2373.451806
708	100395	43098	24	5.36	24	27	9930	65	1421.16217
542	84881	23994	48	3.13	28.44	2	74123	50	5277.280321
558	47935	29489	24	11.26	18.75	23	73302	43	4177.306268
736	69786	39865	36	2.88	25.34	8	34268	47	2083.898303
346	66600	25609	36	7.74	26.59	34	25020	54	5026.264446
417	120734	30279	12	3.89	14.5	0	41964	28	4086.732192
704	143274	47003	24	8.54	47.38	5	7490	69	667.1060663
402	126296	27473	12	11.22	43.4	24	93721	56	4640.272484
357	46172	13984	24	9.51	12.46	8	33798	50	7342.69285
815	125221	11397	60	8.88	31.96	30	3641	35	7751.82946
398	64413	44933	24	4.96	20.45	28	59758	42	1140.659991
828	139044	46971	12	6.6	25.73	30	49112	64	608.4531044
541	61846	32413	48	14.02	32.81	30	60926	57	3606.712667
300	92595	23052	24	13.31	17.16	20	57572	47	5556.453338
696	85082	42605	48	3.46	34.2	17	30297	37	1538.636955
500	116443	47422	60	8.24	46.01	33	8123	23	655.4266685
647	140075	25829	36	14.33	27.16	28	77567	18	4894.150764
395	148748	32605	60	11.45	24.12	26	85610	27	3603.224423
324	68874	49002	24	9.94	25.47	12	74632	33	369.5708048
775	73268	22030	60	2.88	10.26	3	74991	45	5618.45964
443	102495	11530	60	10.77	35.11	14	41831	19	7824.005916
340	105469	48790	12	14.63	21.58	11	83996	41	397.3654199
419	106213	48360	60	11.9	22.64	1	35454	58	456.4695207
446	43510	21014	48	14.16	36.47	10	35507	64	5937.291797
454	148301	21163	12	13.64	39.21	7	98256	69	5888.063135
734	62240	18521	36	14.64	47.91	4	73994	43	6338.866413
516	125921	44778	48	6.07	26.45	14	18562	41	1149.436934
699	84754	10435	36	9.26	40.25	2	1951	39	7964.989481
676	132153	28486	60	5.03	35.01	29	28561	42	4354.783627
613	47376	16421	48	3.94	12.48	27	92705	65	6796.63803
443	69138	27420	36	12.23	29.33	1	46157	48	4666.276103
787	48831	16138	48	8.56	23.52	25	23535	54	6811.725331
796	64813	18673	36	10.91	28.61	9	44460	53	6282.859036
450	88344	9798	60	12.69	30.47	16	27499	45	8172.729282
602	38639	10926	12	12.48	17.95	5	37792	55	7890.430961
755	49711	11441	36	7.6	15.24	6	94968	68	7732.177732
638	54832	28561	60	3.69	30.74	13	89031	47	4348.387385
483	138249	12227	60	13.47	23.64	28	29680	58	7666.038149
358	31555	26592	24	14.63	27.04	25	6789	35	4844.466903
377	134306	35682	48	7.16	18.79	4	98695	64	2992.615938
603	133824	22727	12	5.86	46.74	15	74777	37	5540.15458
576	21591	10693	48	10.68	18.65	28	55698	57	7937.052485
645	70677	11519	12	14.79	17.61	15	73889	26	7739.81555
497	72375	42778	36	5.89	21.73	1	5796	20	1567.162934
802	103976	47845	12	6.76	43.46	33	26336	32	449.0341807
673	76276	47368	60	14.47	23.65	9	68607	52	565.9928726
423	77132	31160	36	11.66	41.69	19	8222	20	3894.523911
421	116523	36463	24	13.27	26.79	27	7856	54	2858.713673
309	145836	14067	48	14.52	30.22	8	28615	69	7364.61168
686	103807	21531	48	9.84	41.9	0	85879	19	5743.915739
340	55111	17040	24	3.21	36.92	8	92918	50	6742.135927
801	71886	11629	48	10.15	42.33	15	72178	32	7688.61919
515	63585	12521	12	8.66	31.54	15	8593	68	7595.431989
525	52733	35137	12	12.37	38.02	20	88534	18	3077.867154
741	57198	16130	60	14.71	10.55	7	66576	29	6800.793464
478	120375	31928	12	3.2	49.77	21	85468	44	3720.42542
664	23430	14686	60	9.19	35.3	27	48893	19	7127.885344
697	81916	15756	36	5.75	49.49	23	44135	50	6894.6343
690	20619	20149	60	3.02	22	33	10635	46	6007.984564
532	44860	22630	48	10.93	33.13	13	26739	37	5572.130703
582	142926	23743	48	9.84	39.88	19	50568	32	5350.323843
427	33669	14122	60	13.72	27.35	25	85501	26	7315.246946
709	80315	37262	12	14.11	10.01	6	17459	54	2606.927608
772	114071	28711	48	11.79	39.15	12	23806	32	4300.79338
313	116999	12761	36	9.41	40.1	12	71749	42	7590.612275
817	29078	35254	12	7.87	20.09	24	5534	31	2968.441981
760	21341	18076	60	14.39	49.68	1	45406	40	6431.925244
397	88916	27656	48	3.28	13.51	25	47819	58	4588.632515
405	133811	39958	60	2.65	26.34	21	1524	50	2131.991368
318	149839	12758	12	11.2	18.82	5	43890	27	7622.433452
467	53062	37784	60	6.57	11.82	29	99468	26	2531.198819
535	130198	33047	12	6.02	42.81	15	20842	20	3504.170317
677	67414	15487	12	4.54	42.2	32	16709	50	6959.192831
613	136074	22087	36	2.81	46.17	1	26287	37	5668.569577
830	33281	31724	60	5.4	23.41	14	86669	29	3658.110112
523	132302	23544	12	3.56	20.45	31	51153	48	5372.539859
309	88878	16889	24	5.96	32.14	6	2523	42	6783.105614
659	124101	20379	12	13.28	44.36	19	78608	47	5994.351843
668	88577	23394	48	4.43	39.68	27	19276	37	5372.405506
612	54707	30150	36	13.49	37.84	30	95046	55	4023.822026
368	130177	16871	12	5.04	42.12	11	78082	45	6773.376623
505	109399	31200	12	5.63	40.41	15	71318	54	3870.401978
558	47083	31189	12	11.21	26.63	11	67863	43	3863.480363
647	113106	26991	12	10.85	16.35	23	4381	31	4665.898877
354	103310	16205	48	4.77	15.29	32	42495	61	6906.063362
825	75230	44110	48	8.08	38.96	22	87421	58	1165.750042
415	63001	21669	36	3.97	42.8	34	87580	49	5811.104764
456	144677	49629	48	4.56	38.25	15	90347	37	189.3179129
436	53320	23284	60	8.77	34.17	5	46182	47	5475.862397
511	132755	6651	60	6.89	44.46	26	67005	30	8775.475244
601	77056	8750	48	12.83	21.65	22	58453	42	8330.41614
615	49241	38548	24	4.62	45.18	0	19558	43	2372.896478
328	95418	8631	36	5.61	16.8	8	77924	67	8420.813658
713	137369	31984	36	8.7	25.91	25	8989	45	3662.938167
847	46289	10017	24	12.99	14.22	20	70198	32	7990.016334
807	132831	14866	60	11.34	12.91	31	50222	18	7040.244298
394	39982	34739	36	5.13	10.9	23	58703	45	3195.582697
514	62534	26223	60	2.92	45.12	18	38098	31	4874.847942
567	90831	33141	60	12.56	26.22	4	80373	54	3469.226598
798	44354	9760	60	5.97	16.25	10	6794	30	8070.082985
569	32112	43360	48	6.33	37.89	31	91009	63	1396.244892
548	49009	19537	60	4.96	39.17	21	28906	61	6179.770461
622	144343	14715	48	2.74	42.4	32	24976	56	7122.686038
824	148583	42174	24	5.24	12.28	17	56096	53	1585.821746
557	45559	35158	60	10.71	47.64	3	42719	23	3079.036708
522	147015	18828	60	6.88	13.21	29	3782	24	6338.322494
626	51575	32425	36	14.97	15.7	16	26849	26	3588.839937
692	54636	40585	48	5.28	17.6	4	73396	51	1909.577807
672	79052	40840	60	14.73	33.33	13	38506	50	1877.197998
447	98187	32042	60	9.3	35.35	1	99244	67	3703.631111
716	132217	14074	36	12.16	30.65	9	77658	48	7221.064028
362	121678	34450	36	12.8	35.82	17	74554	40	3260.228152
394	71027	24873	60	9.68	20.25	1	57853	31	5178.10063
691	82187	9255	24	3.38	44.94	22	65747	53	8195.703599
737	46431	6724	60	3.76	33.88	34	1214	58	8690.250807
457	99141	35112	36	7.5	39.52	25	76302	50	3096.341744
355	52981	11643	12	5.23	40.05	29	3232	65	7827.400615
760	72930	39964	24	13.29	29.53	2	95042	64	2032.632242
528	119911	14496	60	6.24	22.26	34	22301	62	7200.231352
645	122471	6828	48	7.59	37.67	24	98273	61	8684.945355
763	149828	22014	60	3.51	47.84	23	36839	62	5629.477976
662	115317	10997	48	9.46	42.35	4	76920	30	7860.578832
338	83483	15258	48	5.62	47.8	18	968	31	7111.438338
402	135672	27663	60	5.71	27.06	12	38346	52	4605.340076
478	128542	23658	24	5.11	31.78	13	10940	32	5409.983293
847	112108	31715	36	8.42	33.52	6	83569	35	3656.357176
502	37850	41451	12	4.99	34.04	22	5188	48	1822.25639
316	132573	8083	12	7.41	34.68	12	81103	59	8528.547459
345	146740	12909	60	6.6	48.63	14	83245	57	7596.822199
383	64738	26800	60	14.16	25.09	28	43052	40	4776.596657
314	94441	26817	12	10.91	44.29	14	78648	39	4811.521267
552	61755	28312	12	12.54	10.88	13	88290	32	4417.976884
754	131785	35784	24	5.8	30.94	34	75164	51	2876.901471
456	57904	46986	12	7.17	42.97	14	15791	19	733.6065189
530	32254	32117	60	10.61	44.62	5	75839	27	3680.045744
405	102879	39196	48	9.54	41.95	12	66273	57	2317.965645
831	144088	14346	60	2.58	31.38	12	50255	40	7112.934154
756	50561	19818	36	9.74	11.93	30	93710	59	6042.071041
697	114006	44310	12	14.61	10.65	3	28	34	1184.478659
470	71860	41378	36	5.84	14.11	7	82674	60	1842.262195
368	73947	5671	36	4.89	16.53	20	20365	30	8999.949297
760	143395	28953	48	14.51	26.74	1	60030	66	4238.685643
516	83852	33602	36	5.52	25.29	29	1541	19	3396.490946
532	71756	45761	48	12.45	12.38	0	79553	63	959.6978018
434	108929	30519	60	7.55	34.78	9	57676	64	4022.874943
538	86504	38691	60	11.64	28.76	2	12336	57	2378.244986
530	95186	16563	48	4.74	44.64	9	69211	31	6792.420604
584	54701	28563	36	12.54	33.08	21	4924	36	4375.121265
374	43196	45718	12	7.73	42.47	26	7244	60	1000.901849
775	87278	10906	24	4.46	17.87	27	21168	27	7842.05172
563	111155	31170	36	13.58	14.39	28	82212	61	3835.595352
807	35251	36656	36	5.92	36.52	25	94830	45	2680.255798
548	105553	47815	12	13.31	26.01	23	44252	64	529.295147
425	149478	15805	12	3.21	45.19	7	22784	39	6974.2236
332	71474	21173	60	11.31	27.1	16	54401	66	5919.164492
387	113065	35659	60	6.7	11.15	6	76448	42	3013.806579
336	144165	36174	60	5.03	32.19	27	53331	56	2910.186763
550	121148	17275	24	9.79	18.4	33	9677	28	6656.730673
645	136021	38768	36	4.15	29.7	16	15605	39	2337.734264
541	144130	36116	24	7.46	12.05	22	80021	19	2872.344934
488	74028	10772	48	8.14	16.51	14	81029	42	7941.324701
593	109613	28384	12	5.6	15.73	32	55718	55	4384.210784
740	43821	44279	24	9.91	23.37	34	59274	55	1168.419032
479	106475	28128	24	8.53	16.7	32	24485	51	4493.003255
841	81788	8081	36	6.28	36.76	11	16608	48	8388.734738
617	48380	37591	36	5.97	17.83	28	71545	35	2524.272358
761	55772	46974	12	8.54	37.56	12	33123	45	649.1442872
408	67638	29345	48	4.85	43.57	18	41034	65	4285.729504
702	22983	46621	12	12.98	10.04	29	56321	45	700.3314043
692	107263	38160	24	14.95	43.69	3	92103	25	2432.918633
443	22469	40153	36	5.87	27.67	33	98865	18	2089.649648
717	84674	30643	24	7.03	21.56	30	81542	46	3906.430648
455	124734	7551	36	7.31	16.23	15	48521	66	8600.151725
444	103869	38937	12	4.4	22.48	32	30936	41	2324.527758
648	115402	19996	60	14.39	21.83	7	68322	69	6038.280875
489	119616	39317	48	5.89	41.99	20	3435	59	2240.000695
412	91652	48936	24	7.17	12.76	10	85311	27	336.1605046
747	94131	23322	24	2.59	19.31	19	38931	68	5380.526097
695	81212	21087	12	5.9	32.16	2	37207	45	5844.589513
693	70069	30051	12	8.58	48.1	20	69795	65	4045.000446
792	135005	17411	60	13.63	25.24	18	16138	33	6545.839589
822	85661	26953	48	6.36	18.23	33	76428	64	4592.274038
618	40022	5162	24	6.47	36.53	15	99318	31	9051.85892
336	24494	12446	12	7.99	13.44	25	61892	29	7654.78447
445	80545	38453	48	7.79	32.56	5	5609	36	2470.980732
385	122979	45108	60	7.35	44.88	2	4532	50	1147.972469
608	121332	24508	48	11.59	22.26	13	12305	23	5189.669984
395	132855	13429	60	12.77	33.27	33	28400	41	7460.282574
633	22356	39782	24	14.54	35.95	27	60213	27	2105.71793
803	93972	41378	60	4.51	31.27	15	42929	31	1736.188708
645	117241	16695	48	12.56	20.88	9	99174	27	6722.182898
793	30225	21021	24	6.34	29.56	10	27563	56	5839.589435
460	121371	9033	36	11.68	38.38	25	19360	30	8323.154709
624	84772	36497	24	3.36	35.2	13	89630	61	2768.220048
807	116347	17693	24	13.06	45.02	22	30348	45	6482.504746
735	126625	23489	24	5.33	10.53	17	5153	43	5346.18121
393	103560	16916	48	13.47	13.17	3	71621	56	6750.991923
432	97236	33411	12	2.89	32.95	26	11434	51	3449.245467
817	53756	28911	12	14.97	21.53	1	42578	26	4239.218228
662	47490	32733	24	12.51	26.7	6	88478	28	3515.294095
703	86081	22625	48	8.03	20.18	12	89647	18	5532.564657
812	49759	23313	36	12.98	22.14	1	24502	25	5360.658511
500	43051	31966	12	11.72	26.45	16	11560	68	3725.170788
384	68901	48541	36	3.28	47.66	4	9505	38	447.2985779
352	52921	49298	12	12.3	19.2	10	70434	25	285.6084689
392	149749	10110	48	14.87	40.32	11	24161	49	8136.369478
707	74842	41035	60	5.43	22.63	30	59117	36	1835.302219
677	69153	23708	48	10.73	22.82	19	7213	42	5311.92355
534	122302	12394	12	13.49	32.31	16	4655	28	7622.885351
301	61786	42384	48	5.73	21.84	31	86246	28	1664.406609
314	74912	27612	60	14.31	25.88	2	58047	32	4646.747807
599	101941	7839	12	4.07	19.95	26	71820	39	8494.773977
816	80461	44040	36	13.06	13.09	28	87458	30	1187.630067
597	74620	32213	60	3.36	32.26	18	75761	69	3643.013636
317	20806	15699	12	3.54	45.92	3	89876	47	7022.684292
582	32676	5661	24	6.92	33.14	34	21359	55	8938.344508
433	83888	33138	60	14.1	49.7	28	35863	30	3521.689726
824	74756	18467	48	5.64	36.95	8	95041	41	6318.716901
464	125284	29217	12	11.64	25.47	12	14429	56	4279.232781
707	27813	39964	36	9.99	15.41	22	79971	48	2037.234301
368	148267	19357	60	12.76	10.02	4	50493	61	6269.758775
746	102970	43787	48	4.34	18.56	34	23290	35	1284.880371
772	97454	39054	12	3.82	21.04	11	80664	23	2185.498221
335	21750	11894	48	14.56	49.17	11	50390	53	7778.512575
357	46660	33082	48	12.96	22.61	18	14706	39	3534.519207
333	147118	35447	60	12.01	38.2	30	99083	29	3073.498793
776	134130	14108	48	10.93	37.19	17	49402	31	7196.144154
416	65893	34118	24	5.66	40.78	1	99270	33	3311.374635
413	35563	24584	48	5.69	23.39	13	28754	58	5216.652211
467	61873	11406	60	9.36	33.23	9	34840	51	7833.632826
555	127434	31342	36	11.66	20.09	12	25008	59	3824.627067
666	43150	43218	48	6.37	25.78	19	75403	53	1410.527282
656	108801	42947	36	7.92	13.22	20	15385	22	1485.894681
752	143372	33482	60	13.69	14.14	11	75432	60	3325.317447
326	35577	6958	24	2.8	25.8	22	15210	48	8766.487216
695	147769	13535	36	3.81	25.07	2	33161	26	7345.757899
412	142555	12531	60	7.34	10.43	32	50830	26	7638.663324
398	128730	37376	36	5.37	35.51	27	39385	59	2665.541963
469	95713	8191	60	13.76	47.84	11	58436	27	8504.452207
530	69153	34411	48	2.51	23.26	28	73960	37	3196.603959
743	138533	36750	60	4.29	36.32	33	62665	22	2694.714614
752	131543	13734	60	7.37	32.63	30	77926	27	7275.269035
799	26570	41116	12	6.82	24.88	11	7869	41	1807.960722
686	31122	39068	60	3.66	35.26	23	35321	59	2242.310885
805	82552	39905	24	13.33	33.01	7	58701	23	2030.781131
524	146768	10432	36	11.89	23.95	5	67067	40	8012.850556
334	140900	46781	48	12.46	42.22	13	71218	30	806.0849271
479	66542	44922	24	5.25	43.14	18	36021	40	1154.798077
742	40337	36852	60	9.46	24.5	8	82797	56	2661.174275
532	114457	10495	12	13	47.15	16	90467	18	8000.160235
750	118875	33758	48	10.3	48.27	34	42399	60	3286.979255
578	137071	15837	60	5.19	41.38	19	29059	56	6942.866059
702	69268	22081	60	4.94	26.43	10	24014	52	5636.648376
426	145617	36552	24	2.62	48.18	1	66983	37	2828.328681
685	56397	49633	48	7.26	48.95	19	65305	28	141.6712442
816	51860	7336	24	4	29.33	9	10150	21	8546.497901
497	79321	39521	36	12.72	14.42	1	54847	30	2201.652892
821	45849	24446	24	12.89	49.55	23	22606	63	5118.696865
695	125228	28177	36	12.77	32.86	18	35739	58	4428.973506
364	70975	32935	12	2.9	41.21	13	11907	42	3569.296596
494	94744	39546	36	9.23	37	15	15111	29	2209.720306
573	111248	31213	12	13.28	44.83	8	34550	43	3860.096318
625	102050	34344	36	10.91	37.19	17	29825	32	3223.683378
491	54801	40433	60	14.26	11.03	28	74531	54	2006.463806
849	118833	16407	24	13.73	19.34	9	53080	37	6752.096366
573	68787	47092	48	12.45	22.1	27	16448	19	676.3309589
718	90316	13461	48	13.56	26.89	6	17438	64	7353.56571
608	55046	5781	36	3.16	44.39	3	75386	31	8910.97188
519	114934	21393	48	7.93	36.55	11	87755	53	5826.921426
335	134524	22826	24	10.2	38.08	24	81383	62	5576.330324
483	64859	19042	60	8.82	45.45	34	81653	42	6307.148941
371	96961	48285	12	5.37	44.47	34	81434	54	470.1656335
810	30326	20261	12	6.81	27.63	30	83656	65	5952.395143
791	49373	18380	12	14.34	33.53	32	12404	27	6342.283129
530	146522	49139	12	4.44	40.74	13	81199	67	264.7830338
357	46685	36055	24	9.2	29.1	30	94731	60	2933.224451
817	132590	20901	36	13.23	33.42	24	29187	59	5823.273864
377	63408	48543	12	14.09	48.25	27	23664	30	441.7525486
525	76503	46945	24	7.44	46.66	23	42438	61	711.9204281
443	135608	12421	48	14.01	15.38	29	68993	41	7630.04219
840	31344	47652	48	2.69	15.04	10	25345	23	496.0917504
673	54531	45372	48	10.84	18.83	5	67359	68	954.5923173
368	142413	7159	24	8.6	37.16	10	56325	25	8726.130147
810	40662	7852	36	12.79	18.72	22	25988	55	8448.107373
641	129049	12629	12	10.07	23.57	15	595	64	7550.127582
675	90326	14833	36	2.63	26.76	30	42372	66	7083.810113
842	110827	28284	48	2.94	43.15	9	56326	62	4372.070099
803	46630	48363	12	10.1	26.31	15	30028	46	354.0326077
366	72326	32386	12	14.01	23.15	30	36390	33	3676.257401
658	63753	44864	24	14.23	26.95	19	42406	43	1097.223184
389	47082	22153	12	12.97	47.97	24	96583	21	5705.599025
303	127860	11416	12	9.33	24.07	14	87675	40	7877.068286
391	73302	22772	48	4.47	23.38	19	20390	21	5554.620423
493	75204	9135	24	12.68	35.02	17	75956	39	8289.79808
702	56062	14852	60	9.87	45.62	31	18733	50	7077.584336
704	55133	10774	60	12.73	46.38	24	39601	40	7893.987103
443	55435	8040	12	3.28	37.91	32	39131	48	8522.631572
643	109563	47287	12	9.53	11.61	6	9969	35	631.5412667
657	64064	11910	60	10.45	49.86	30	7642	68	7712.83244
727	24853	6367	12	13.39	16.45	11	3981	69	8761.936362
358	32115	30556	48	12.29	33.9	17	19768	33	4042.849699
790	96260	31819	60	9.14	12.23	2	98537	27	3641.1355
421	146879	10978	12	8.19	15.32	14	38192	23	7944.836166
847	55057	5645	48	5.64	22.31	12	37310	69	8852.339511
489	135953	33903	36	14.88	31.88	31	26469	59	3324.859309
837	82211	23073	36	7.39	10.84	3	80317	37	5388.529312
621	45683	12999	48	8.11	37.88	7	90201	63	7451.338063
800	81367	18489	60	13.01	22.41	34	89299	19	6292.305522
494	53039	39503	36	10.8	33.31	31	55311	28	2196.177652
552	39250	10704	36	2.64	31.99	29	61313	69	7937.944169
381	123674	21299	36	8.55	16.47	9	68827	29	5884.538081
791	146209	31035	12	2.99	13.92	6	3771	49	3822.654236
680	137428	35129	60	13.94	14.93	17	57378	38	3037.434872
679	100199	34794	36	10.77	17.09	9	3513	50	3093.065061
769	30616	45194	36	3.88	26.11	10	73705	33	982.0531656
466	92355	6667	24	11.48	23.5	1	63248	54	8792.845561
352	26638	9079	60	11.6	23.11	5	95359	39	8337.691039
601	23020	39406	60	11.9	48.02	27	57480	53	2211.75687
425	21435	9940	60	12.05	13.94	23	25757	51	8129.939269
805	88785	25215	36	10.89	40.39	1	56862	68	4980.548788
706	24648	35933	12	14.23	12.82	29	91428	36	2849.982974
